id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
4917	1	Gib-WT	0.256	2.11e-5	1.46e-4	1176;1763;6400;7034;7751;7853;10367;11644;11699;14202;15106;16766;21121;27215;28769;29578;29693;35064;37363;37640;40969;42668;42812;45066;45067;45731;46280;57775	4816;4817;4818;9774;9775	Q14151;K7ERX3;K7EQU4	Q14151	SAFB2	Scaffold attachment factor B2	953	18	NA	NA
4918	1	Gib-WT	0.437	1.75e-7	8.54e-6	1408;2940;3260;3971;5943;8820;11221;11816;11932;13026;14601;20339;20585;22361;24728;25018;25286;27371;28132;28343;29091;31367;34654;35367;36777;37107;37612;38048;38402;39659;41345;42072;42595;42975;43153;43171;44316;45613;51610;51979;54878;57553	4819;4820	Q14152	Q14152	EIF3A	Eukaryotic translation initiation factor 3 subunit A	1382	42	NA	NA
4919	1	Gib-WT	-0.109	0.111	0.152	2859;7672;7673;7787;19474;20572;20936;29002;36947;37922;37979;40891;41847;42080;43875;43876;44321;47352;48070;48880;49193;50208;52549;52757;60180;60181	4821;4822;4823;4824;4825;4826;4827;4828;4829;4830;4831;4832;4833;9776	Q14157;F8W726;Q5VU77;Q5VU79;Q5VU78;Q5VU81;Q5VU80;H0Y5H6;H7C2T8	Q14157;F8W726	UBAP2L	Ubiquitin-associated protein 2-like	1087	26	NA	NA
4920	1	Gib-WT	-0.12	0.00834	0.0164	21705;32341;32949;33075;36405;39612;40712;41590;46443;48300	4834;4835	Q14161;R4GNG3;F8VXI9;F8WAK2;F8W822	Q14161;R4GNG3;F8VXI9;F8WAK2	GIT2	ARF GTPase-activating protein GIT2	759	10	NA	NA
4921	1	Gib-WT	0.0343	0.323	0.386	11555;16194;22345;27071;27072;32141;33727;47229;60034	NA	Q14165;F5H1S8;H0YG07;F5GX14	Q14165;F5H1S8	MLEC	Malectin	292	9	NA	NA
4922	1	Gib-WT	0.262	6.86e-5	3.46e-4	1835;3936;7420;8369;17226;22642;28151;41654;42311;48554;56532;58420	4836;4837	Q14166;V9GY16	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12	644	12	NA	NA
4923	1	Gib-WT	0.155	0.0107	0.0202	2909;10179;12656;47465;56124	4838	Q14181;A0A3B3ITS5;E9PIQ6	Q14181;A0A3B3ITS5	POLA2	DNA polymerase alpha subunit B	598	5	NA	NA
4924	1	Gib-WT	0.0209	0.788	0.823	6747;17468;35317;50937;55204	4839	Q14186;Q5JSB6;Q5JSB5;F5H452	Q14186;Q5JSB6;Q5JSB5	TFDP1	Transcription factor Dp-1	410	5	NA	NA
4925	1	Gib-WT	-0.162	0.456	0.519	2299;40565;46097	4840	Q14191	Q14191	WRN	Werner syndrome ATP-dependent helicase	1432	3	NA	NA
4926	1	Gib-WT	0.482	8.59e-5	4.1e-4	7101;9005;11386;40387;42468;59697	NA	Q14192	Q14192	FHL2	Four and a half LIM domains protein 2	279	6	NA	NA
4927	1	Gib-WT	-0.0222	0.508	0.569	2922;8942;16871;18215;19495;20412;20417;22047;25420;26428;34782;34931;36183;37083;37441;43894	4841;9777;9778	Q14195;H0YBT4;E9PD68;Q14194;D6RF19	Q14195	DPYSL3	Dihydropyrimidinase-related protein 3	570	14	NA	NA
4928	1	Gib-WT	-0.123	0.00238	0.00567	746;1702;1789;3204;3298;3979;5092;7505;7909;8442;8707;9271;9319;9424;10453;10840;11325;11999;12208;12349;12484;12651;15476;15579;15999;16110;17690;17737;18895;19876;20454;21702;21853;22149;22170;24509;25769;25778;26350;26595;27106;27639;27877;28109;28645;29163;29449;29625;29793;30191;30485;31995;32790;33225;34189;34423;35875;36248;36308;37395;37443;38530;38600;38838;39758;41014;41246;41254;41568;42499;43854;43937;44985;45050;45245;45262;46126;47027;49091;49501;49996;50888;50905;50993;51626;51869;52450;52584;52868;52952;53281;54045;54824;54830;55021;55029;56238;56331;56542;56829;56874;56930;57207;58275;59024;59056;60302;60543	NA	Q14204;A0A2R8Y706;A0A2R8YFZ7;A0A2R8Y5T0;A0A2R8Y6H2;A0A2R8Y542;A0A2R8YGC7;H0YJ21;A0A2R8Y6I5	Q14204	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	4646	108	NA	NA
4929	1	Gib-WT	-0.359	4.51e-4	0.00144	17092;38643;39871;41199;42896	4842	Q14207;H0YET3	Q14207	NPAT	Protein NPAT	1427	5	NA	NA
4930	1	Gib-WT	0.345	1.96e-5	1.39e-4	1111;4667;7590;11373;13439;17614;18955;24690;30216;30217;47922;54327;56046	NA	Q14232;F5H0D0	Q14232	EIF2B1	Translation initiation factor eIF-2B subunit alpha	305	13	NA	NA
4931	1	Gib-WT	0.1	0.0386	0.0612	7552;13185;19859;19860;21891;22225;27085;28461;32591;35266;39212;40197;54773;55172	NA	Q14240;E7EQG2	Q14240;E7EQG2	EIF4A2	"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed"	407	4	NA	NA
4932	1	Gib-WT	-0.0668	0.0816	0.117	4883;10505;13037;14179;16744;20887;22456;22578;32535;32877;36445;39797;44292;44293;44294;52796;52797;53741;53751;54706;59552	4843;4844;4845;4846;9779;9780	Q14247;H0YEV2;H0YCD9	Q14247	CTTN	Src substrate cortactin	550	21	NA	NA
4934	1	Gib-WT	0.516	5.08e-6	5.7e-5	1393;17804;23659;30492;33287;38179;40870;41581;55690;55691;58523	NA	Q14257;H0YL43;A8MXP8	Q14257;H0YL43	RCN2	Reticulocalbin-2	317	11	NA	NA
4935	1	Gib-WT	-0.213	1.2e-4	5.24e-4	3404;4900;5756;7261;11667;14309;16427;19722;25980;27996;28484;32549;34106;37744;39343;39453;42681;50322;54238;55051;55781	4847	Q14258;A0A3B3IUA7	Q14258;A0A3B3IUA7	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	630	21	NA	NA
4938	1	Gib-WT	0.485	3.06e-7	1.13e-5	17461;20553;31782;35941;37851;37852;44052;45645;58566;58567	NA	Q14320;B0S8I6;Q9Y247	Q14320;B0S8I6	FAM50A	Protein FAM50A	339	10	NA	NA
4940	1	Gib-WT	0.146	0.00689	0.0139	7103;7653;14708;15573;17417;21875;34825;39650;59827	NA	Q14331;E9PRR7;E9PLY7;J3KSQ7	Q14331;E9PRR7	FRG1	Protein FRG1	258	9	NA	NA
4941	1	Gib-WT	-0.221	2.2e-4	8.32e-4	3757;4245;11608;19715;50446;57065	NA	Q14344	Q14344	GNA13	Guanine nucleotide-binding protein subunit alpha-13	377	6	NA	NA
4942	1	Gib-WT	0.0129	0.755	0.795	6019;10451;10870;19315;41283;42747;49378	NA	Q14376;Q5QPP9;Q5QPP3;Q5QPP4;Q5QPP1	Q14376;Q5QPP9;Q5QPP3;Q5QPP4	GALE	UDP-glucose 4-epimerase	348	7	NA	NA
4943	1	Gib-WT	0.462	2.69e-4	9.66e-4	26151;28845;56672	4849	Q14432	Q14432	PDE3A	"cGMP-inhibited 3,5-cyclic phosphodiesterase A"	1141	3	NA	NA
4944	1	Gib-WT	0.0676	0.121	0.165	7864;32225;39215;39231;40154;40575;40576;45308;48365;60237	NA	Q14444;E9PLA9;G3V153	Q14444;E9PLA9;G3V153	CAPRIN1	Caprin-1	709	10	NA	NA
4945	1	Gib-WT	-0.079	0.0687	0.101	13165;24195;26419;34394;39001;41630	NA	Q14457;E7EV84;K7ELY9;K7ER46;K7EN35;K7EMA2	Q14457;E7EV84;K7ELY9;K7ER46;K7EN35	BECN1	Beclin-1	450	6	NA	NA
4946	1	Gib-WT	-0.0338	0.419	0.483	107;3240;8284;8393;14267;19687;22255;24627;33595;38166;47721;50355;51136;53598;55384;56153;60325	4850;4851;4852;4853	Q14498;G3XAC6;H0Y4X3;A0A0U1RQH7;Q5QP23;Q5QP22;A0A0U1RQW2;G3V5Z6;H0YJJ3;G3XAP0;F8WF24;F2Z2Z5;A0A087X122;H0Y6I9;A8MYG5	Q14498;G3XAC6;H0Y4X3;A0A0U1RQH7;Q5QP23	RBM39	RNA-binding protein 39	530	17	NA	NA
4947	1	Gib-WT	-0.184	0.0012	0.00323	8259;20968;31836;45167;50723	NA	Q14554;H7C4F9	Q14554	PDIA5	Protein disulfide-isomerase A5	519	5	NA	NA
4948	1	Gib-WT	-0.538	8.74e-5	4.14e-4	24768;30529;30968;36455;36463;49678;55253	4854;9781	Q14558;B4DP31;C9J168;C9JUN4;C9JNQ3	Q14558;B4DP31	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	356	6	NA	NA
4949	1	Gib-WT	0.0873	0.0128	0.0237	1308;5275;6371;7783;9353;10103;12764;13657;14841;21579;23547;25757;26053;26132;28467;30436;34962;35359;40834;40835;41245;52998;53314;57368;60589	4855	Q14566	Q14566	MCM6	DNA replication licensing factor MCM6	821	25	NA	NA
4951	1	Gib-WT	-0.277	3.61e-5	2.14e-4	15771;17060;17082;19234;20524;21007;22900;26687;32821;38006;38753;40295;41051;41880;44913;48527;50146;53268;55995	NA	Q14571;A0A3B3ITM6;A0A3B3IRT5	Q14571	ITPR2	"Inositol 1,4,5-trisphosphate receptor type 2"	2701	17	NA	NA
4952	1	Gib-WT	-0.013	0.638	0.69	3912;6495;6496;7902;10412;14771;17083;19236;21322;22899;23613;24575;29708;30276;31406;32103;32822;33189;35540;38753;39856;41881;45014;46278;48184;48283;49269;51951;53268;54340;55794;57784;59532	4856	Q14573;A0A3B3IRZ9	Q14573	ITPR3	"Inositol 1,4,5-trisphosphate receptor type 3"	2671	33	NA	NA
4954	1	Gib-WT	-0.548	1.88e-6	3.23e-5	1035;11194;15065;17310;35421;37147;39683	NA	Q14627	Q14627	IL13RA2	Interleukin-13 receptor subunit alpha-2	380	7	NA	NA
4955	1	Gib-WT	-0.206	0.0161	0.029	26716;41758;42320;43968;54668;59528	4857;4858;4859;10612	Q14644	Q14644	RASA3	Ras GTPase-activating protein 3	834	6	NA	NA
4956	1	Gib-WT	-0.33	9.53e-6	8.49e-5	2276;6449;11024;12303;19230;22964;25325;33493;35417;40194;46335;53004	NA	Q14651;C9JAM8;C9J359;C9J0F3;C9JAM3;C9JVY2;C9JU08	Q14651;C9JAM8	PLS1	Plastin-1	629	9	NA	NA
4957	1	Gib-WT	0.208	0.00122	0.00327	6650;6668;8756;19509;52154	9782	Q14657	Q14657	LAGE3	EKC/KEOPS complex subunit LAGE3	143	5	NA	NA
4958	1	Gib-WT	-0.0493	0.139	0.185	17375;28277;32879;44577;49364;49968;57282	4860	Q14667;Q08E86;K7EQ86	Q14667;Q08E86;K7EQ86	KIAA0100	Protein KIAA0100	2235	7	NA	NA
4959	1	Gib-WT	0.0146	0.643	0.695	3199;3841;6148;6682;9301;9366;9441;9625;13227;16268;17869;19691;21100;21700;30366;35390;37035;40414;42730;44232;47033;52207;52387;59694	4861	Q14671;Q5T1Z4;Q5T1Z8;H0YEH2;E9PR38;H0YDK8;E9PMX1;H0YDQ6;E9PM68;E9PL65;H0YED4	Q14671;Q5T1Z4;Q5T1Z8;H0YEH2;E9PR38;H0YDK8	PUM1	Pumilio homolog 1	1186	24	NA	NA
4960	1	Gib-WT	0.289	4.1e-4	0.00133	3985;4434;14257;20134;21220;21556;35990;49488;49528	4862;4863;4864	Q14674	Q14674	ESPL1	Separin	2120	9	NA	NA
4961	1	Gib-WT	0.0805	0.025	0.0419	2552;2863;4280;4682;4683;6023;9310;9311;9475;14844;18100;18906;20662;20735;20909;23289;29920;31586;32228;36117;38051;39735;42093;47962;48071;48548;48891;48892;48893;52361;52366;52374;52375;52376;52377;56360;57032;58055	4865;4866;4867;4868;4869;4870;4871;4872;4873;4874;4875;4876;4877;4878;4879;4880;9783;9784;9785;9786;9787	Q14676;A2AB05;H0Y6Z8;A2AB07	Q14676	MDC1	Mediator of DNA damage checkpoint protein 1	2089	38	NA	NA
4962	1	Gib-WT	-0.127	0.00444	0.0096	5183;5675;11057;13758;13759;18785;22807;24680;39687;44018;46491;51410;51411;53241;58508;60668	4881;4882;4883;9788;9789	Q14677;H0YD52;A0A5F9ZHV2;P51826	Q14677	CLINT1	Clathrin interactor 1	625	16	NA	NA
4963	1	Gib-WT	0.0469	0.416	0.479	692;14582;25728;26311;42205;46042;49332;49847;51499	4884;4885	Q14678	Q14678	KANK1	KN motif and ankyrin repeat domain-containing protein 1	1352	9	NA	NA
4965	1	Gib-WT	-0.235	1.05e-4	4.78e-4	1371;1500;1723;2017;4817;8738;12737;13011;13555;13907;15884;17342;17623;18558;21771;22894;23782;26952;27290;27636;29751;29981;30949;37228;37655;38040;39439;40561;43160;45484;45797;46805;50068;53513;55896;58145;60112;60454	4886	Q14683;G8JLG1;A0A6Q8PHC3;V9GY57;V9GYN9	Q14683;G8JLG1;A0A6Q8PHC3	SMC1A	Structural maintenance of chromosomes protein 1A;Structural maintenance of chromosomes protein	1233	38	NA	NA
4966	1	Gib-WT	0.159	0.0037	0.00823	1709;2357;13466;15286;15714;16428;21125;21476;21946;22763;51591;52575;54125;55163;55308;56540	4887;4888;4889;4890;9790;9791	Q14684	Q14684	RRP1B	Ribosomal RNA processing protein 1 homolog B	758	16	NA	NA
4967	1	Gib-WT	-0.162	0.00306	0.00705	4636;8172;19027;27176;29513;36131;41838;43291;50647;52566;55496	4891;4892;4893;9792;9793	Q14686;F6M2K2;A0A0D9SFT8;F6M2K4	Q14686	NCOA6	Nuclear receptor coactivator 6	2063	11	NA	NA
4968	1	Gib-WT	0.25	0.0016	0.0041	3604;33276;49187;54744;60431	4894;4895;10613	Q14687;H7C3B5;H0Y613	Q14687;H7C3B5;H0Y613	GSE1	Genetic suppressor element 1	1217	5	NA	NA
4969	1	Gib-WT	0.0397	0.256	0.315	3771;4145;44574	NA	Q14691	Q14691	GINS1	DNA replication complex GINS protein PSF1	196	3	NA	NA
4970	1	Gib-WT	-0.0412	0.41	0.474	1424;2294;11664;15710;17430;20353;20890;33411;35051;45651;49090;58549	4896	Q14692	Q14692	BMS1	Ribosome biogenesis protein BMS1 homolog	1282	12	NA	NA
4971	1	Gib-WT	0.03	0.422	0.486	18884;19977;44124;44656;44703;56969	NA	Q14693;A0A0A0MS66	Q14693;A0A0A0MS66	LPIN1	Phosphatidate phosphatase LPIN1	890	6	NA	NA
4972	1	Gib-WT	0.188	0.00177	0.00443	12361;13513;15161;16875;23756;24012;26352;31030;31815;37091;48884;48885;50034;50306;52552;55812;60435	2502;4897;4898;4899;4900;4901;4902;9794;9795;9796	Q14694;H3BQC6;H3BNA1;H3BVF1;H3BNS8;H3BQP1	Q14694	USP10	Ubiquitin carboxyl-terminal hydrolase 10	798	17	NA	NA
4973	1	Gib-WT	0.25	5.45e-4	0.00168	7044;7809;10475;24107;31469;48160	4903	Q14696;H0YLI4	Q14696	MESDC2	LDLR chaperone MESD	234	6	NA	NA
4974	1	Gib-WT	-0.158	0.00226	0.00544	1519;2533;3408;6854;7329;7340;7604;9054;10143;12299;14396;16638;17448;19487;20123;24028;27947;29398;33352;34140;35627;38877;42823;46685;50278;51342;56762;57474;58048;58049;59399	NA	Q14697;F5H6X6	Q14697;F5H6X6	GANAB	Neutral alpha-glucosidase AB	944	31	NA	NA
4976	1	Gib-WT	-0.156	9.22e-4	0.00259	19473;27337;44191;50929;57979;59541;59729;60041	4904;4905	Q14739;A0A494C1L1;C9JXK0;C9JES9	Q14739;A0A494C1L1;C9JXK0	LBR	Lamin-B receptor	615	8	NA	NA
4977	1	Gib-WT	-0.576	3.45e-7	1.21e-5	3405;3578;4428;4607;4715;8330;9201;13306;18309;24266;25102;25652;39477;41193;54341;56820;57376	NA	Q14764;H3BRL2;H3BQK6;H3BPZ2;H3BNF2;H3BUP3;H3BQE7;H3BP76;H3BUK7;H3BNF6	Q14764	MVP	Major vault protein	893	17	NA	NA
4980	1	Gib-WT	0.00959	0.738	0.781	1795;1957;3200;3800;4416;4500;4538;4603;4778;7213;8767;9272;9277;9287;9616;10110;10972;12082;13515;14003;14053;14847;14874;15623;17617;20274;23771;25788;26490;27065;27175;28240;28894;28908;29252;29679;30010;31144;31193;32237;32761;35569;36220;36780;39518;39576;40818;40917;41167;41188;41332;41569;42378;42422;42592;43696;43918;44896;45891;46338;46672;46792;46816;46833;47114;48650;48784;48915;51069;51202;52705;52985;54026;54454;54868;56208;57531	4907;4908;4909;4910;4911;4912	Q14789;E7EU81;H0Y867;H7C5I7	Q14789	GOLGB1	Golgin subfamily B member 1	3259	77	NA	NA
4981	1	Gib-WT	-0.402	2.86e-5	1.8e-4	14444;22215;41173;48702;55189;56520	4913	Q14790;A0A0A0MS31;C9JB29;H7C0E2;E7EQ01;E7EVN1;E7ETB7;E7EQ06	Q14790;A0A0A0MS31	CASP8	Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10	479	6	NA	NA
4982	1	Gib-WT	0.319	3.9e-5	2.28e-4	8678;31825;36973;47328;56382	4914;4915	Q147X3	Q147X3	NAA30	N-alpha-acetyltransferase 30	362	5	NA	NA
4984	1	Gib-WT	-0.00895	0.801	0.834	5196;18486;19098;27331;29528;30240;31813;38919;42636;45069;47341;47547;52171;60534	4916;4917	Q14814;Q05BX2;H0YM62;D6RG14;D6RB91;A0A0D9SET2;D6R942;D6RC63;D8L7E9;A0A0D9SFD0;A0A0D9SGI5;H0YKY6	Q14814	MEF2D	Myocyte-specific enhancer factor 2D	521	14	NA	NA
4986	1	Gib-WT	0.224	2.95e-5	1.84e-4	869;9677;19137;26593;28048;28396;35333;35334;36105;41757;41909;43390;44143;52638;59563	4918	Q14847;C9J9W2;F6S2S5;K7ESD6;J3KSN1	Q14847;C9J9W2	LASP1	LIM and SH3 domain protein 1	261	15	NA	NA
4989	1	Gib-WT	-0.435	2.47e-6	3.68e-5	5959;6077;6340;8079;9256;10818;10819;11131;13076;13992;15347;18042;19608;21974;22325;22921;24092;25626;28330;34969;35736;37369;38672;38847;41282;42050;44672;45269;45584;50076;50610;51649;52999;59557;59648	4921;4922;4923;4924	Q14966;A0A096LPI0;A0A096LNS4;A0A096LPB4;C9JWN0;A0A096LPK8;A0A096LNX0	Q14966	ZNF638	Zinc finger protein 638	1978	35	NA	NA
4990	1	Gib-WT	0.137	0.00102	0.00281	7019;9816;11796;15120;18592;22613;27093;29832;31485;33027;35124;38862;39148;39716;44737;47160;48207;51670;53367;53782;54033;54040;55982;58680	NA	Q14974;J3KTM9;J3QR48;J3QKQ5;J3QRG4;J3KS06	Q14974;J3KTM9	KPNB1	Importin subunit beta-1	876	24	NA	NA
4991	1	Gib-WT	0.163	0.00291	0.00675	162;474;541;1392;2136;2571;4379;4409;4501;5154;5429;5706;5760;6202;9281;9426;9435;10365;10717;11718;11929;12559;13034;13369;13658;14400;19562;22906;23898;24739;25532;26821;27466;27534;27591;27613;28150;28174;28470;28728;28747;28907;29817;29957;30493;30664;30665;31709;32629;32921;32995;33777;34339;38221;39240;39379;39544;39738;39839;39966;40120;41562;41676;41680;42058;44135;46455;46967;47250;47736;47748;50783;51067;52733;53422;54338;55079;56073;57402	130;131;132;133;134;135;136;8755	Q14980	Q14980	NUMA1	Nuclear mitotic apparatus protein 1	2115	79	NA	NA
4993	1	Gib-WT	0.0494	0.147	0.194	2488;3513;9097;15974;16624;23852;23853;28026;28266;29255;31656;33694;34737;37718;37924;39278;40369;46726;46990;52060;55225;56517;56777;58702	4925	Q14997;F8WBH5	Q14997	PSME4	Proteasome activator complex subunit 4	1843	24	NA	NA
4994	1	Gib-WT	0.0276	0.417	0.481	3565;5984;7214;10965;13582;13583;15874;17195;17538;17597;17829;25120;28830;28886;30053;30934;31026;31758;32749;34144;37496;39268;40291;44789;48159;48230;57009;57055;58185;58663	2067;2068;2069;2070;2071;2072;2073;2074;2077;9206;9207;9208	Q14C86;C9IZ08;H0Y7I9;H0Y4E7;B4DGD8;B0QZ65;A0A0A0MQV8;C9IZX9	Q14C86;C9IZ08;H0Y7I9;H0Y4E7	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	1478	30	NA	NA
4996	1	Gib-WT	0.339	7.85e-6	7.52e-5	9948;16594;18549;32206;33171;39348;46667;47838;60212	10614	Q14CX7;F8VSB9	Q14CX7	NAA25	"N-alpha-acetyltransferase 25, NatB auxiliary subunit"	972	9	NA	NA
4998	1	Gib-WT	-0.148	0.00123	0.00328	4238;6834;9850;10566;14223;17678;19591;20762;24291;26859;28057;29789;31317;39690;49927;50143;51431;51432;52109;52158;55171;55235	4929;9799	Q15003;E9PHA2;C9J470;C9JZP1;H7C415	Q15003;E9PHA2;C9J470	NCAPH	Condensin complex subunit 2	741	22	NA	NA
4999	1	Gib-WT	1.06	2.47e-7	1.01e-5	895;9493;14127;28500	NA	Q15004;H0YKX3;H0YMA4;A0A0U1RQM0;A0A0U1RQC1	Q15004;H0YKX3;H0YMA4;A0A0U1RQM0	KIAA0101	PCNA-associated factor	111	4	NA	NA
5000	1	Gib-WT	-0.00852	0.877	0.899	25284;59053;60587	NA	Q15006;H0YAS9	Q15006	EMC2	ER membrane protein complex subunit 2	297	3	NA	NA
5001	1	Gib-WT	0.143	9.45e-4	0.00265	8247;12386;14467;17680;18869;23610;33331;33969;35529;41623;42391;52192;52978;53265;60522	4930	Q15007;A0A087X1R4	Q15007	WTAP	Pre-mRNA-splicing regulator WTAP	396	15	NA	NA
5002	1	Gib-WT	-0.0262	0.463	0.526	3968;8985;10374;17022;18430;24711;29305;38777;39093;42534;43125;46628;46629;53514;56586;58402	NA	Q15008;C9J0E9;C9J7B7;H7C531	Q15008	PSMD6	26S proteasome non-ATPase regulatory subunit 6	389	16	NA	NA
5003	1	Gib-WT	0.494	1.2e-7	7.31e-6	16013;21056;38168;43988;47855;50032;54332	4931	Q15014;Q5JXX2;Q5JXX1;Q5JXX6	Q15014;Q5JXX2	MORF4L2	Mortality factor 4-like protein 2	288	6	NA	NA
5004	1	Gib-WT	-0.39	0.00272	0.00637	2970;41174;56581;56959;57991	NA	Q15018	Q15018	FAM175B	BRISC complex subunit Abro1	415	5	NA	NA
5005	1	Gib-WT	-0.0842	0.0221	0.0378	25092;26672;26673;28482;34120;35820;41693;53754;55824	4932	Q15019;B5MCX3;C9J938;H7C2Y0;C9J2Q4;C9JB25;C9IZU3;C9JZI2;C9IY94;C9JQJ4;B5MD47;H7C310;C9JT15;F8WB65;C9JFT1;A0A1B0GXJ2;C9JSE7;H7C1T1	Q15019;B5MCX3	SEPT2	Septin-2	361	9	NA	NA
5006	1	Gib-WT	0.00216	0.945	0.956	1954;2799;6620;8336;11052;13298;15117;19661;20583;23400;26708;27556;31458;33229;33262;36375;46218;50025;53125;60276	4933	Q15021;E7EN77;F5GZK7;F5H431;REV__Q02790	Q15021;E7EN77	NCAPD2	Condensin complex subunit 1	1401	20	NA	NA
5007	1	Gib-WT	0.145	0.011	0.0207	5420;8004;19206;30505;56056;58370	NA	Q15024	Q15024	EXOSC7	Exosome complex component RRP42	291	6	NA	NA
5008	1	Gib-WT	0.0523	0.126	0.17	3422;4358;9586;12397;17243;19305;19634;20245;23908;24289;25086;26343;26630;26868;27355;29130;30388;32486;34563;36300;36303;39829;43861;49164;49837;50286;51683;56128;56345;59182;59575	4934;4935;9800	Q15029;K7EP67;K7EJ74	Q15029	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	972	30	NA	NA
5009	1	Gib-WT	-0.0389	0.313	0.375	8092;12952;30075;33644;33786;34621;37439;55362;55570;55584;58422	NA	Q15031;E9PHM2;A0A499FJL2;A0A494C1E0;C9JYR8	Q15031;E9PHM2;A0A499FJL2;A0A494C1E0	LARS2	"Probable leucine--tRNA ligase, mitochondrial"	903	11	NA	NA
5010	1	Gib-WT	0.0176	0.804	0.837	705;5299;26751;32660;54064	4936;4937	Q15032;H7C207;H7C1X4;H7BZ47;H7C2F9	Q15032;H7C207	R3HDM1	R3H domain-containing protein 1	1099	5	NA	NA
5012	1	Gib-WT	0.11	0.0148	0.0268	30253;44680;47536;49892;57823;60450	4938;4939	Q15036;F8WAZ0	Q15036	SNX17	Sorting nexin-17	470	6	NA	NA
5013	1	Gib-WT	-0.163	6.25e-4	0.00188	109;526;2103;10450;15112;15185;19696;28407;30696;33845;36307;44010;44151;44479;50399;52874;55921;56159;56171	4940;4941;9801	Q15042	Q15042	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	981	19	NA	NA
5014	1	Gib-WT	0.324	7.56e-6	7.35e-5	3435;9225;26996;59429	NA	Q15043;E5RFZ8;E5RGA7;E5RJ40;E5RJG5;E5RIP4;E5RFT1	Q15043;E5RFZ8;E5RGA7;E5RJ40;E5RJG5;E5RIP4;E5RFT1	SLC39A14	Zinc transporter ZIP14	492	4	NA	NA
5015	1	Gib-WT	-0.0474	0.15	0.197	5938;12703;14173;15735;18517;22856;23846;25087;25507;27127;27157;27521;32388;32389;35616;40846;41067;42921;44853;47738;54251;57889	4942;9802	Q15046;H3BVA8;J3KRL2;H3BPV7	Q15046	KARS	Lysine--tRNA ligase	597	22	NA	NA
5016	1	Gib-WT	0.28	2.94e-4	0.00104	1667;11541;15982;19414;27258;27335;35110;35720;41183;54838;57534	NA	Q15050	Q15050	RRS1	Ribosome biogenesis regulatory protein homolog	365	11	NA	NA
5017	1	Gib-WT	-0.213	0.438	0.502	27008;35993;39661;42158;48291;48713;54860	1345;4943;4944	Q15052	Q15052	ARHGEF6	Rho guanine nucleotide exchange factor 6	776	5	NA	NA
5018	1	Gib-WT	0.0682	0.0492	0.0755	4104;11314;15902;17462;26469;41162;48684;53953;54236;54237;56628;56629;58342	4945;4946	Q15054;E9PNC0;H0YD46;E9PRK3;E9PM91;H0YEX7	Q15054	POLD3	DNA polymerase delta subunit 3	466	13	NA	NA
5019	1	Gib-WT	0.119	0.0351	0.0564	1009;6537;7070;10889;14357;19022;21421;53528;54619	NA	Q15056;A0A7I2V4E4;A0A7I2V385;A0A7I2V3E4;A0A7I2V3D5;A0A7I2V4V9;REV__B4E135	Q15056;A0A7I2V4E4;A0A7I2V385	EIF4H	Eukaryotic translation initiation factor 4H	248	9	NA	NA
5020	1	Gib-WT	-0.0906	0.12	0.163	4642;7541;8323;14852;14969;34787;39804;40405;48588;56968;60398	4947;4948;4949	Q15057;A0A087X1H5;A0A0U1RQT1;A0A5F9ZHJ9;H7C3K3;C9J8L1;H7C3Q8	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	778	11	NA	NA
5021	1	Gib-WT	-0.363	5.31e-6	5.89e-5	2547;11657;12502;13626;13801;25220;28700;40437;42376;43989;43990;46489;48351;49983;55011;55783;55856;60664	4950;9803	Q15058	Q15058	KIF14	Kinesin-like protein KIF14	1648	18	NA	NA
5022	1	Gib-WT	-0.408	7.95e-4	0.0023	1207;8382;28792;31983;39561;41060;45120;46263;48955;60072	4951;4952	Q15059;A9J571	Q15059	BRD3	Bromodomain-containing protein 3	726	7	NA	NA
5023	1	Gib-WT	0.122	0.00555	0.0116	7761;8152;18299;18575;22861;27976;30327;30859;31102;31671;38928;45552;49149;52590;55091;56567	4953;4954;9804	Q15061;C9JEE7;C9IZK7	Q15061	WDR43	WD repeat-containing protein 43	677	16	NA	NA
5024	1	Gib-WT	-0.66	6.48e-6	6.76e-5	1794;1998;4955;9436;16758;49757;58925;59038	4955	Q15067;I3L2U4;K7ENF1;K7ESC7;K7ELT1;I3L0T4	Q15067	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1	660	8	NA	NA
